count	DATE2	PRCP	SNWD	SNOW	TMAX	TMIN	AWND2	weekday	isWeekend
1276	01/03/2012	0.0	0.0	0.0	33	15	10.5	2	0
1467	01/26/2010	0.0	0.0	0.0	49	35	8.7	2	0
1445	03/02/2011	0.0	0.0	0.0	53	25	11.0	3	0
1338	03/07/2007	0.04	0.0	0.5	23	12	4.0	3	0
1476	03/28/2008	0.01	0.0	0.0	48	38	7.8	5	0
1301	04/05/2008	0.08	0.0	0.0	59	50	6.5	6	1
1291	05/08/2015	0.0	0.0	0.0	82	56	2.9	5	0
1303	05/19/2012	0.0	0.0	0.0	80	53	3.1	6	1
1406	06/14/2010	0.01	0.0	0.0	79	64	2.5	1	0
1519	07/28/2008	0.0	0.0	0.0	86	66	2.5	1	0
1396	08/16/2014	0.0	0.0	0.0	78	63	4.0	6	1
1352	10/10/2009	0.0	0.0	0.0	66	50	4.9	6	1
1592	10/16/2008	0.0	0.0	0.0	75	55	5.4	4	0
1166	11/14/2015	0.0	0.0	0.0	49	42	7.8	6	1
1244	11/17/2013	0.03	0.0	0.0	60	51	3.6	7	1
1212	12/01/2012	0.0	0.0	0.0	41	36	8.9	6	1
1038	12/13/2009	0.95	0.0	0.0	52	34	6.0	7	1
1567	01/20/2010	0.0	0.0	0.0	41	34	6.3	3	0
851	02/09/2013	0.38	11.0	5.1	32	21	8.5	6	1
1549	02/16/2006	0.0	8.0	0.0	59	40	3.8	4	0
1411	02/16/2012	0.19	0.0	0.0	44	36	4.5	4	0
1330	02/20/2014	0.03	15.0	0.0	51	37	4.9	4	0
1356	03/09/2009	0.1	0.0	0.0	49	38	7.8	1	0
1053	03/18/2007	0.0	3.0	0.0	39	27	9.6	7	1
1403	03/30/2011	0.01	0.0	0.0	53	36	4.5	3	0
1340	04/28/2007	0.0	0.0	0.0	71	54	4.0	6	1
1134	05/17/2009	0.04	0.0	0.0	66	52	6.5	7	1
1387	05/22/2015	0.0	0.0	0.0	74	55	6.0	5	0
1367	05/30/2013	0.0	0.0	0.0	90	72	5.1	4	0
1173	05/31/2009	0.0	0.0	0.0	81	57	5.65	7	1
1428	06/10/2008	0.04	0.0	0.0	96	69	4.7	2	0
1347	06/21/2014	0.0	0.0	0.0	78	62	4.9	6	1
1274	08/29/2009	0.55	0.0	0.0	72	67	5.4	6	1
