DESC (0)|NTACODE (1)|NTANAME (2)|***SEX AND AGE (3)|TOTAL POPULATION (4)|  MALE (5)|  FEMALE (6)|  UNDER 5 YEARS (7)|  5 TO 9 YEARS (8)|  10 TO 14 YEARS (9)|  15 TO 19 YEARS (10)|  20 TO 24 YEARS (11)|  25 TO 34 YEARS (12)|  35 TO 44 YEARS (13)|  45 TO 54 YEARS (14)|  55 TO 59 YEARS (15)|  60 TO 64 YEARS (16)|  65 TO 74 YEARS (17)|  75 TO 84 YEARS (18)|  85 YEARS AND OVER (19)|18 YEARS AND OVER (20)|  21 YEARS AND OVER (21)|  62 YEARS AND OVER (22)|  65 YEARS AND OVER (23)|18 YEARS AND OVER (24)|  MALE (25)|  FEMALE (26)|65 YEARS AND OVER (27)|  MALE (28)|  FEMALE (29)|***RACE    (30)|TOTAL POPULATION (31)|  ONE RACE (32)|  TWO OR MORE RACES (33)|  ONE RACE (34)|    WHITE (35)|    BLACK OR AFRICAN AMERICAN (36)|    AMERICAN INDIAN AND ALASKA NATIVE (37)|        CHEROKEE TRIBAL GROUPING (38)|        CHIPPEWA TRIBAL GROUPING (39)|        NAVAJO TRIBAL GROUPING (40)|        SIOUX TRIBAL GROUPING (41)|    ASIAN (42)|        ASIAN INDIAN (43)|        CHINESE (44)|        FILIPINO (45)|        JAPANESE (46)|        KOREAN (47)|        VIETNAMESE (48)|        OTHER ASIAN (49)|    NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER (50)|        NATIVE HAWAIIAN (51)|        GUAMANIAN OR CHAMORRO (52)|        SAMOAN (53)|        OTHER PACIFIC ISLANDER (54)|    SOME OTHER RACE (55)|  TWO OR MORE RACES (56)|    WHITE AND BLACK OR AFRICAN AMERICAN (57)|    WHITE AND AMERICAN INDIAN AND ALASKA NATIVE (58)|    WHITE AND ASIAN (59)|    BLACK OR AFRICAN AMERICAN AND AMERICAN INDIAN AND ALASKA NATIVE (60)|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES (61)|TOTAL POPULATION (62)|  WHITE (63)|  BLACK OR AFRICAN AMERICAN (64)|  AMERICAN INDIAN AND ALASKA NATIVE (65)|  ASIAN (66)|  NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER (67)|  SOME OTHER RACE (68)|***HISPANIC OR LATINO AND RACE  (69)|TOTAL POPULATION (70)|  HISPANIC OR LATINO (OF ANY RACE) (71)|    MEXICAN (72)|    PUERTO RICAN (73)|    CUBAN (74)|    OTHER HISPANIC OR LATINO (75)|  NOT HISPANIC OR LATINO (76)|    WHITE ALONE (77)|    BLACK OR AFRICAN AMERICAN ALONE (78)|    AMERICAN INDIAN AND ALASKA NATIVE ALONE (79)|    ASIAN ALONE (80)|    NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE (81)|    SOME OTHER RACE ALONE (82)|    TWO OR MORE RACES (83)|      TWO RACES INCLUDING SOME OTHER RACE (84)|      TWO RACES EXCLUDING SOME OTHER RACE, AND THREE OR MORE RACES (85)|TOTAL HOUSING UNITS (86)
DATA|BK72|Williamsburg|***SEX AND AGE|32,828|16,820|16,008|6,163|3,773|3,620|3,279|3,064|3,960|2,416|2,161|1,306|987|796|770|533|17,130|15,430|2,644|2,099|17,130|8,387|8,743|2,099|778|1,321|***RACE   |32,828|32,508|320|32,508|30,366|913|5|0|0|0|0|30|6|9|15|0|0|0|0|0|0|0|0|0|1,194|320|45|73|4|0|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES|32,828|30,644|995|83|45|29|1,352|***HISPANIC OR LATINO AND RACE |32,828|3,779|637|2,053|0|1,089|29,049|28,047|773|0|30|0|15|184|22|162|8,939
DATA|BK73|North Side-South Side|***SEX AND AGE|46,070|22,290|23,780|3,017|2,480|2,315|2,361|4,123|13,445|7,162|4,860|1,684|1,405|1,683|1,014|521|37,026|35,142|4,068|3,218|37,026|17,899|19,127|3,218|1,365|1,853|***RACE   |46,070|44,733|1,337|44,733|36,143|2,605|126|0|0|0|0|2,048|258|608|269|341|344|20|208|88|88|0|0|0|3,723|1,337|226|50|589|0|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES|46,070|37,341|3,041|304|2,776|104|4,022|***HISPANIC OR LATINO AND RACE |46,070|17,189|1,679|6,739|255|8,516|28,881|24,367|1,360|64|2,012|88|127|863|11|852|20,944
DATA|BK76|Greenpoint|***SEX AND AGE|31,522|15,499|16,023|937|878|914|879|2,653|10,463|4,465|4,068|2,045|1,519|1,314|986|401|28,194|27,509|3,608|2,701|28,194|13,775|14,419|2,701|891|1,810|***RACE   |31,522|30,838|684|30,838|26,941|304|301|30|0|0|0|1,577|79|357|118|118|310|112|483|0|0|0|0|0|1,715|684|129|80|150|0|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES|31,522|27,560|472|381|1,795|138|1,881|***HISPANIC OR LATINO AND RACE |31,522|4,725|954|1,363|147|2,261|26,797|24,067|257|149|1,577|0|186|561|46|515|17,302
DATA|BK90|East Williamsburg|***SEX AND AGE|33,155|15,587|17,568|1,341|913|1,342|1,460|3,038|9,522|4,605|3,482|1,575|1,450|2,128|1,741|558|28,943|27,560|5,280|4,427|28,943|13,189|15,754|4,427|1,795|2,632|***RACE   |33,155|32,570|585|32,570|20,732|3,455|191|0|0|0|0|3,951|104|3,033|162|203|292|118|39|0|0|0|0|0|4,241|585|157|80|85|0|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES|33,155|21,211|3,691|338|4,080|0|4,485|***HISPANIC OR LATINO AND RACE |33,155|10,927|1,001|5,372|148|4,406|22,228|14,984|2,917|31|3,917|0|123|256|28|228|15,814
DATA|BK09|Brooklyn Heights-Cobble Hill|***SEX AND AGE|23,498|11,805|11,693|1,538|543|547|1,109|1,464|5,809|4,242|2,564|1,446|1,355|1,610|854|417|20,492|19,458|3,636|2,881|20,492|10,230|10,262|2,881|1,329|1,552|***RACE   |23,498|22,567|931|22,567|18,810|1,282|80|0|0|0|0|1,713|297|749|93|143|233|0|198|0|0|0|0|0|682|931|262|18|466|0|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES|23,498|19,657|1,577|99|2,263|49|817|***HISPANIC OR LATINO AND RACE |23,498|1,747|269|531|99|848|21,751|17,981|1,250|33|1,671|0|23|793|31|762|12,735
DATA|BK38|DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill|***SEX AND AGE|35,373|17,227|18,146|2,145|2,038|1,487|1,448|2,276|8,988|6,349|4,529|1,339|1,505|1,857|928|484|28,932|27,806|4,133|3,269|28,932|13,593|15,339|3,269|1,194|2,075|***RACE   |35,373|33,902|1,471|33,902|18,073|8,643|64|19|0|0|0|3,016|435|1,350|127|135|528|87|354|0|0|0|0|0|4,106|1,471|232|65|427|27|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES|35,373|19,104|9,371|192|3,534|39|4,705|***HISPANIC OR LATINO AND RACE |35,373|8,406|359|5,165|169|2,713|26,967|15,280|7,718|58|3,016|0|115|780|57|723|17,033
DATA|BK68|Fort Greene|***SEX AND AGE|26,982|11,367|15,615|1,640|1,200|1,285|1,521|2,329|6,268|4,293|2,867|1,169|1,373|1,575|1,036|426|22,202|20,653|3,820|3,037|22,202|9,250|12,952|3,037|983|2,054|***RACE   |26,982|25,676|1,306|25,676|9,095|11,844|37|5|0|0|0|2,283|373|1,039|186|176|211|48|250|0|0|0|0|0|2,417|1,306|400|5|364|143|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES|26,982|9,961|12,631|217|2,779|6|2,711|***HISPANIC OR LATINO AND RACE |26,982|5,101|921|2,627|102|1,451|21,881|7,182|11,270|5|2,274|0|124|1,026|66|960|13,108
DATA|BK69|Clinton Hill|***SEX AND AGE|36,413|17,412|19,001|2,191|1,762|1,290|1,911|4,569|8,290|6,195|3,367|1,850|1,704|1,952|807|525|30,518|28,292|4,150|3,284|30,518|14,427|16,091|3,284|1,407|1,877|***RACE   |36,413|34,863|1,550|34,863|15,020|15,204|58|0|0|0|12|1,911|173|687|70|180|297|75|429|32|0|32|0|0|2,638|1,550|488|53|335|139|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES|36,413|16,192|16,187|378|2,468|62|2,912|***HISPANIC OR LATINO AND RACE |36,413|5,943|1,145|2,101|197|2,500|30,470|12,971|14,322|29|1,900|0|160|1,088|106|982|17,006
DATA|BK35|Stuyvesant Heights|***SEX AND AGE|64,331|28,872|35,459|4,878|4,337|4,312|4,478|5,326|10,603|9,019|8,682|3,422|3,064|3,961|1,652|597|48,066|45,226|7,771|6,210|48,066|21,012|27,054|6,210|2,138|4,072|***RACE   |64,331|63,128|1,203|63,128|7,778|48,310|101|17|0|0|0|1,880|277|513|96|69|55|11|859|10|0|0|0|10|5,049|1,203|253|119|41|271|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES|64,331|8,530|49,081|581|2,014|27|5,430|***HISPANIC OR LATINO AND RACE |64,331|13,632|1,266|6,473|130|5,763|50,699|2,990|44,911|91|1,880|0|227|600|19|581|28,484
DATA|BK75|Bedford|***SEX AND AGE|70,095|33,241|36,854|7,277|5,714|5,326|5,255|6,497|12,341|9,768|7,375|2,597|2,716|3,003|1,786|440|48,544|45,230|6,610|5,229|48,544|22,033|26,511|5,229|2,040|3,189|***RACE   |70,095|68,676|1,419|68,676|22,449|37,726|256|25|0|0|0|1,890|517|548|93|64|228|9|431|0|0|0|0|0|6,355|1,419|251|35|225|107|***RACE ALONE OR IN COMBINATION W/ONE OF MORE OTHER RACES|70,095|23,207|38,509|590|2,402|60|6,819|***HISPANIC OR LATINO AND RACE |70,095|13,102|999|6,037|286|5,780|56,993|18,280|35,525|150|1,859|0|287|892|61|831|28,254
