DESC (0)|NTACODE (1)|NTANAME (2)|***EMPLOYMENT STATUS (3)|POPULATION 16 YEARS AND OVER (4)|   IN LABOR FORCE (5)|       CIVILIAN LABOR FORCE (6)|          EMPLOYED (7)|          UNEMPLOYED (8)|       ARMED FORCES (9)|   NOT IN LABOR FORCE (10)|CIVILIAN LABOR FORCE (11)|   UNEMPLOYMENT RATE (12)|FEMALES 16 YEARS AND OVER (13)|   IN LABOR FORCE (14)|      CIVILIAN LABOR FORCE (15)|        EMPLOYED (16)|OWN CHILDREN UNDER 6 YEARS (17)|      ALL PARENTS IN FAMILY IN LABOR FORCE (18)|OWN CHILDREN 6 TO 17 YEARS (19)|      ALL PARENTS IN FAMILY IN LABOR FORCE (20)|***OCCUPATION (21)|CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (22)|   MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS (23)|   SERVICE OCCUPATIONS (24)|   SALES AND OFFICE OCCUPATIONS (25)|   NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS (26)|   PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS (27)|***INDUSTRY (28)|CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (29)|   AGRICULTURE, FORESTRY, FISHING, HUNTING, AND MINING (30)|   CONSTRUCTION (31)|   MANUFACTURING (32)|   WHOLESALE TRADE (33)|   RETAIL TRADE (34)|   TRANSPORTATION AND WAREHOUSING, AND UTILITIES (35)|   INFORMATION (36)|   FINANCE AND INSURANCE, AND REAL ESTATE AND RENTAL AND LEASING (37)|   PROFESSIONAL, SCIENTIFIC, AND MANAGEMENT, AND ADMINISTRATIVE AND WASTE MANAGEMENT SERVICES (38)|   EDUCATIONAL SERVICES, AND HEALTH CARE AND SOCIAL ASSISTANCE (39)|   ARTS, ENTERTAINMENT, AND RECREATION, AND ACCOMMODATION AND FOOD SERVICES (40)|   OTHER SERVICES, EXCEPT PUBLIC ADMINISTRATION (41)|   PUBLIC ADMINISTRATION (42)|***CLASS OF WORKER (43)|CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (44)|   PRIVATE WAGE AND SALARY WORKERS (45)|   GOVERNMENT WORKERS (46)|   SELF-EMPLOYED IN OWN NOT INCORPORATED BUSINESS WORKERS (47)|   UNPAID FAMILY WORKERS (48)|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) (49)|TOTAL HOUSEHOLDS (50)|   LESS THAN $10,000 (51)|   $10,000 TO $14,999 (52)|   $15,000 TO $24,999 (53)|   $25,000 TO $34,999 (54)|   $35,000 TO $49,999 (55)|   $50,000 TO $74,999 (56)|   $75,000 TO $99,999 (57)|   $100,000 TO $149,999 (58)|   $150,000 TO $199,999 (59)|   $200,000 OR MORE (60)|   WITH EARNINGS (61)|   WITH SOCIAL SECURITY (62)|   WITH RETIREMENT INCOME (63)|   WITH SUPPLEMENTAL SECURITY INCOME (64)|   WITH CASH PUBLIC ASSISTANCE INCOME (65)|   WITH FOOD STAMP/SNAP BNFTS IN THE PAST 12 MO (66)|FAMILIES (67)|   LESS THAN $10,000 (68)|   $10,000 TO $14,999 (69)|   $15,000 TO $24,999 (70)|   $25,000 TO $34,999 (71)|   $35,000 TO $49,999 (72)|   $50,000 TO $74,999 (73)|   $75,000 TO $99,999 (74)|   $100,000 TO $149,999 (75)|   $150,000 TO $199,999 (76)|   $200,000 OR MORE (77)|NONFAMILY HOUSEHOLDS (78)|***HEALTH INSURANCE COVERAGE (79)|CIVILIAN NONINSTITUTIONALIZED POPULATION (80)|   WITH HEALTH INSURANCE COVERAGE (81)|      WITH PRIVATE HEALTH INSURANCE (82)|      WITH PUBLIC COVERAGE (83)|   NO HEALTH INSURANCE COVERAGE (84)|CIVILIAN NONINSTITUTIONALIZED POPULATION UNDER 18 YEARS (85)|   NO HEALTH INSURANCE COVERAGE (86)|CIVILIAN NONINSTITUTIONALIZED POPULATION 18 TO 64 YEARS (87)|   IN LABOR FORCE: (88)|      EMPLOYED: (89)|         WITH HEALTH INSURANCE COVERAGE (90)|            WITH PRIVATE HEALTH INSURANCE (91)|            WITH PUBLIC COVERAGE (92)|         NO HEALTH INSURANCE COVERAGE (93)|      UNEMPLOYED: (94)|         WITH HEALTH INSURANCE COVERAGE (95)|           WITH PRIVATE HEALTH INSURANCE (96)|           WITH PUBLIC COVERAGE (97)|         NO HEALTH INSURANCE COVERAGE (98)|    NOT IN LABOR FORCE: (99)|        WITH HEALTH INSURANCE COVERAGE (100)|          WITH PRIVATE HEALTH INSURANCE (101)|          WITH PUBLIC COVERAGE (102)|        NO HEALTH INSURANCE COVERAGE (103)
DATA|BK72|Williamsburg|***EMPLOYMENT STATUS|18,567|8,407|8,407|7,970|437|0|10,160|8,407||9,338|3,256|3,256|3,076|7,116|2,139|8,335|2,286|***OCCUPATION|7,970|2,674|1,014|3,347|239|696|***INDUSTRY|7,970|62|222|849|523|1,092|172|130|545|654|2,931|243|422|125|***CLASS OF WORKER|7,970|7,171|524|275|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|8,299|1,726|1,558|1,411|999|1,035|672|389|318|81|110|6,354|1,584|269|825|385|4,501|6,813|976|1,312|1,260|937|899|634|316|303|81|95|1,486|***HEALTH INSURANCE COVERAGE|32,650|31,225|9,228|24,838|1,425|15,698|297|14,968|8,257|7,848|7,362|3,120|4,849|486|409|302|30|291|107|6,711|6,199|1,832|4,898|512
DATA|BK73|North Side-South Side|***EMPLOYMENT STATUS|37,813|27,062|27,035|25,281|1,754|27|10,751|27,035||19,505|13,178|13,178|12,140|3,389|1,849|5,420|3,236|***OCCUPATION|25,281|13,240|4,133|5,817|824|1,267|***INDUSTRY|25,281|13|813|1,167|639|2,392|693|2,199|1,911|5,346|4,250|4,125|1,105|628|***CLASS OF WORKER|25,281|20,648|2,094|2,438|101|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|19,172|2,200|1,407|2,018|1,715|2,060|3,013|1,928|2,461|1,117|1,253|15,944|3,104|716|1,459|659|4,812|8,691|788|836|1,373|999|1,195|1,062|652|862|402|522|10,481|***HEALTH INSURANCE COVERAGE|46,039|38,716|22,858|17,234|7,323|9,041|351|33,780|26,858|25,121|20,043|17,351|2,974|5,078|1,737|1,073|603|535|664|6,922|5,733|1,917|4,112|1,189
DATA|BK76|Greenpoint|***EMPLOYMENT STATUS|28,667|21,148|21,138|19,849|1,289|10|7,519|21,138||14,572|10,055|10,055|9,607|1,174|745|2,066|1,396|***OCCUPATION|19,849|9,383|3,080|4,344|1,691|1,351|***INDUSTRY|19,849|18|1,715|978|412|1,817|561|1,975|1,188|3,504|3,388|2,717|1,012|564|***CLASS OF WORKER|19,849|16,333|1,853|1,619|44|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|15,124|1,270|711|1,238|1,410|1,484|2,868|2,286|2,171|955|731|12,700|2,418|917|462|194|801|6,330|355|182|505|689|681|1,096|777|1,259|372|414|8,794|***HEALTH INSURANCE COVERAGE|31,508|25,030|20,045|6,237|6,478|3,324|154|25,483|20,732|19,483|15,152|14,461|878|4,331|1,249|614|452|192|635|4,751|3,443|2,019|1,598|1,308
DATA|BK90|East Williamsburg|***EMPLOYMENT STATUS|29,431|19,727|19,711|18,002|1,709|16|9,704|19,711||15,972|9,991|9,991|9,198|1,548|961|2,548|1,687|***OCCUPATION|18,002|8,032|3,614|4,005|885|1,466|***INDUSTRY|18,002|0|761|1,192|513|1,392|611|1,631|1,200|3,091|3,056|3,346|744|465|***CLASS OF WORKER|18,002|14,646|1,653|1,659|44|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|14,888|1,481|1,265|1,927|1,471|1,600|2,484|1,679|1,871|701|409|11,519|3,508|1,379|1,103|553|3,019|6,765|444|614|1,042|885|841|1,103|549|849|266|172|8,123|***HEALTH INSURANCE COVERAGE|33,139|27,744|17,756|12,297|5,395|4,212|179|24,500|19,159|17,520|14,096|12,525|1,874|3,424|1,639|1,051|473|609|588|5,341|4,181|1,410|3,090|1,160
DATA|BK09|Brooklyn Heights-Cobble Hill|***EMPLOYMENT STATUS|20,750|14,848|14,848|14,060|788|0|5,902|14,848||10,401|7,261|7,261|6,857|1,613|1,068|1,358|1,000|***OCCUPATION|14,060|10,086|910|2,568|282|214|***INDUSTRY|14,060|0|163|243|216|669|293|1,269|2,346|3,787|2,902|893|567|712|***CLASS OF WORKER|14,060|10,844|1,569|1,647|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|11,346|580|195|628|537|775|1,430|1,249|1,921|1,115|2,916|9,630|2,402|1,466|114|106|230|4,784|38|50|77|105|72|373|363|790|753|2,163|6,562|***HEALTH INSURANCE COVERAGE|23,498|22,248|20,836|3,652|1,250|3,006|28|17,611|14,090|13,317|12,436|12,325|178|881|773|644|600|81|129|3,521|3,317|3,073|472|204
DATA|BK38|DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill|***EMPLOYMENT STATUS|29,444|20,244|20,244|18,202|2,042|0|9,200|20,244||15,592|10,339|10,339|9,293|2,411|1,661|3,689|2,536|***OCCUPATION|18,202|11,354|2,170|3,678|399|601|***INDUSTRY|18,202|0|290|826|452|1,434|339|1,432|2,024|3,832|4,244|1,725|803|801|***CLASS OF WORKER|18,202|14,079|2,287|1,817|19|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|15,085|1,784|787|1,274|995|1,357|1,575|1,502|2,084|1,369|2,358|12,308|2,667|1,300|1,191|701|3,078|7,392|675|395|711|473|742|648|525|880|765|1,578|7,693|***HEALTH INSURANCE COVERAGE|34,719|31,353|23,063|10,254|3,366|6,379|333|25,337|19,665|17,684|15,770|14,649|1,347|1,914|1,981|1,353|774|821|628|5,672|5,238|2,879|2,608|434
DATA|BK68|Fort Greene|***EMPLOYMENT STATUS|22,693|15,111|15,111|13,331|1,780|0|7,582|15,111||13,135|8,401|8,401|7,535|1,726|1,067|2,421|1,567|***OCCUPATION|13,331|7,626|2,419|2,437|304|545|***INDUSTRY|13,331|6|260|456|111|1,070|406|1,129|811|2,241|3,880|1,508|735|718|***CLASS OF WORKER|13,331|10,104|2,148|1,079|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|11,560|1,405|834|989|1,196|926|1,593|1,234|1,734|816|833|8,967|2,427|1,029|1,024|636|2,442|5,436|569|421|449|449|490|680|592|856|342|588|6,124|***HEALTH INSURANCE COVERAGE|26,206|22,861|15,544|9,017|3,345|4,780|171|18,979|14,785|13,044|11,053|10,109|1,122|1,991|1,741|1,053|521|600|688|4,194|3,735|1,589|2,426|459
DATA|BK69|Clinton Hill|***EMPLOYMENT STATUS|30,904|21,020|21,020|19,069|1,951|0|9,884|21,020||16,286|10,769|10,769|9,694|2,616|1,642|3,037|2,188|***OCCUPATION|19,069|10,533|3,002|3,852|620|1,062|***INDUSTRY|19,069|38|551|548|337|1,484|841|1,348|1,609|3,674|4,428|2,447|850|914|***CLASS OF WORKER|19,069|14,175|3,189|1,705|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|14,937|1,480|749|1,379|1,236|1,603|2,432|1,741|2,123|1,211|983|11,863|2,974|1,767|615|289|1,926|6,536|326|259|597|479|660|1,102|778|1,011|717|607|8,401|***HEALTH INSURANCE COVERAGE|36,409|30,522|23,431|9,252|5,887|5,893|402|27,232|20,544|18,651|15,330|14,348|1,195|3,321|1,893|1,271|800|511|622|6,688|5,162|3,631|1,834|1,526
DATA|BK35|Stuyvesant Heights|***EMPLOYMENT STATUS|49,828|30,116|30,085|25,298|4,787|31|19,712|30,085||28,008|16,052|16,052|13,885|5,299|3,632|9,317|6,554|***OCCUPATION|25,298|8,070|7,133|6,035|1,553|2,507|***INDUSTRY|25,298|0|1,334|761|512|2,473|1,922|582|1,884|2,727|8,092|1,816|1,263|1,932|***CLASS OF WORKER|25,298|17,865|5,933|1,500|0|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|24,360|4,370|1,840|3,148|2,422|3,232|3,636|2,298|2,134|854|426|16,989|5,819|2,730|2,776|2,253|8,318|14,657|2,093|878|1,982|1,310|2,055|2,306|1,586|1,434|676|337|9,703|***HEALTH INSURANCE COVERAGE|64,237|55,026|29,484|29,583|9,211|16,258|999|41,769|29,208|24,573|20,528|17,015|4,069|4,045|4,635|2,938|939|2,193|1,697|12,561|10,180|3,256|7,714|2,381
DATA|BK75|Bedford|***EMPLOYMENT STATUS|50,861|31,029|31,029|27,423|3,606|0|19,832|31,029||27,652|15,369|15,369|13,767|8,015|3,589|12,433|7,027|***OCCUPATION|27,423|9,059|6,978|7,310|1,745|2,331|***INDUSTRY|27,423|69|1,259|1,020|644|3,053|1,701|1,154|1,814|2,716|8,647|2,913|1,032|1,401|***CLASS OF WORKER|27,423|21,053|4,984|1,363|23|***INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)|24,225|3,845|2,241|3,186|2,725|3,049|4,088|2,099|2,005|580|407|18,619|4,690|2,130|2,445|1,833|8,447|14,903|1,787|1,413|1,921|1,841|2,157|2,598|1,292|1,194|420|280|9,322|***HEALTH INSURANCE COVERAGE|69,849|60,580|29,481|35,909|9,269|21,547|918|43,264|30,241|26,807|21,633|16,503|5,991|5,174|3,434|2,347|632|1,823|1,087|13,023|11,032|3,509|8,209|1,991
