DESC (0)|NTACODE (1)|NTANAME (2)|***HOUSING OCCUPANCY (3)|TOTAL HOUSING UNITS (4)|   OCCUPIED HOUSING UNITS (5)|   VACANT HOUSING UNITS (6)|***UNITS IN STRUCTURE (7)|TOTAL HOUSING UNITS (8)|   1-UNIT, DETACHED (9)|   1-UNIT, ATTACHED (10)|   2 UNITS (11)|   3 OR 4 UNITS (12)|   5 TO 9 UNITS (13)|   10 TO 19 UNITS (14)|   20 OR MORE UNITS (15)|   MOBILE HOME (16)|   BOAT, RV, VAN, ETC. (17)|***YEAR STRUCTURE BUILT (18)|TOTAL HOUSING UNITS (19)|   BUILT 2010 OR LATER (20)|   BUILT 2000 TO 2009 (21)|   BUILT 1990 TO 1999 (22)|   BUILT 1980 TO 1989 (23)|   BUILT 1970 TO 1979 (24)|   BUILT 1960 TO 1969 (25)|   BUILT 1950 TO 1959 (26)|   BUILT 1940 TO 1949 (27)|   BUILT 1939 OR EARLIER (28)|***ROOMS (29)|TOTAL HOUSING UNITS (30)|   1 ROOM (31)|   2 ROOMS (32)|   3 ROOMS (33)|   4 ROOMS (34)|   5 ROOMS (35)|   6 ROOMS (36)|   7 ROOMS (37)|   8 ROOMS (38)|   9 ROOMS OR MORE (39)|***BEDROOMS (40)|TOTAL HOUSING UNITS (41)|   NO BEDROOM (42)|   1 BEDROOM (43)|   2 BEDROOMS (44)|   3 BEDROOMS (45)|   4 BEDROOMS (46)|   5 OR MORE BEDROOMS (47)|***HOUSING TENURE (48)|OCCUPIED HOUSING UNITS (49)|   OWNER-OCCUPIED (50)|   RENTER-OCCUPIED (51)|***YEAR HOUSEHOLDER MOVED INTO UNIT (52)|OCCUPIED HOUSING UNITS (53)|   MOVED IN 2010 OR LATER (54)|   MOVED IN 2000 TO 2009 (55)|   MOVED IN 1990 TO 1999 (56)|   MOVED IN 1980 TO 1989 (57)|   MOVED IN 1970 TO 1979 (58)|   MOVED IN 1969 OR EARLIER (59)|***VEHICLES AVAILABLE (60)|OCCUPIED HOUSING UNITS (61)|   NO VEHICLES AVAILABLE (62)|   1 VEHICLE AVAILABLE (63)|   2 VEHICLES AVAILABLE (64)|   3 OR MORE VEHICLES AVAILABLE (65)|***HOUSE HEATING FUEL  (66)|OCCUPIED HOUSING UNITS (67)|   UTILITY GAS (68)|   BOTTLED, TANK, OR LP GAS (69)|   ELECTRICITY (70)|   FUEL OIL, KEROSENE, ETC. (71)|   COAL OR COKE (72)|   WOOD (73)|   SOLAR ENERGY (74)|   OTHER FUEL (75)|   NO FUEL USED (76)|***SELECTED CHARACTERISTICS (77)|OCCUPIED HOUSING UNITS (78)|   LACKING COMPLETE PLUMBING FACILITIES (79)|   LACKING COMPLETE KITCHEN FACILITIES (80)|   NO TELEPHONE SERVICE AVAILABLE (81)|***OCCUPANTS PER ROOM (82)|OCCUPIED HOUSING UNITS (83)|   1.00 OR LESS (84)|   1.01 TO 1.50 (85)|   1.51 OR MORE (86)|***VALUE (87)| OWNER-OCCUPIED UNITS (88)|   LESS THAN $50,000 (89)|   $50,000 TO $99,999 (90)|   $100,000 TO $149,999 (91)|   $150,000 TO $199,999 (92)|   $200,000 TO $299,999 (93)|   $300,000 TO $499,999 (94)|   $500,000 TO $999,999 (95)|   $1,000,000 OR MORE (96)|***MORTGAGE STATUS (97)|OWNER-OCCUPIED UNITS (98)|   HOUSING UNITS WITH A MORTGAGE (99)|   HOUSING UNITS WITHOUT A MORTGAGE (100)|***SELECTED MONTHLY OWNER COSTS (SMOC) (101)|HOUSING UNITS WITH A MORTGAGE (102)|   LESS THAN $300 (103)|   $300 TO $499 (104)|   $500 TO $699 (105)|   $700 TO $999 (106)|   $1,000 TO $1,499 (107)|   $1,500 TO $1,999 (108)|   $2,000 OR MORE (109)|   HOUSING UNITS WITHOUT A MORTGAGE (110)|   LESS THAN $100 (111)|   $100 TO $199 (112)|   $200 TO $299 (113)|   $300 TO $399 (114)|   $400 OR MORE (115)|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) (116)|HOUSING UNITS WITH A MORTGAGE (EXCL. UNITS WHERE SMOCAPI CAN'T BE CMPTD) (117)|   LESS THAN 20.0 PERCENT (118)|   20.0 TO 24.9 PERCENT (119)|   25.0 TO 29.9 PERCENT (120)|   30.0 TO 34.9 PERCENT (121)|   35.0 PERCENT OR MORE (122)|   NOT COMPUTED (123)|HOUSING UNIT WITHOUT A MORTGAGE (EXCL. UNITS WHERE SMOCAPI CAN'T BE CMPTD) (124)|   LESS THAN 10.0 PERCENT (125)|   10.0 TO 14.9 PERCENT (126)|   15.0 TO 19.9 PERCENT (127)|   20.0 TO 24.9 PERCENT (128)|   25.0 TO 29.9 PERCENT (129)|   30.0 TO 34.9 PERCENT (130)|   35.0 PERCENT OR MORE (131)|   NOT COMPUTED (132)|***GROSS RENT (133)|OCCUPIED UNITS PAYING RENT (134)|   LESS THAN $200 (135)|   $200 TO $299 (136)|   $300 TO $499 (137)|   $500 TO $749 (138)|   $750 TO $999 (139)|   $1,000 TO $1,499 (140)|   $1,500 OR MORE (141)|   NO RENT PAID (142)|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) (143)|OCCUPIED UNITS PAYING RENT (EXCL. UNITS WHERE GRAPI CAN'T BE COMPUTED) (144)|   LESS THAN 15.0 PERCENT (145)|   15.0 TO 19.9 PERCENT (146)|   20.0 TO 24.9 PERCENT (147)|   25.0 TO 29.9 PERCENT (148)|   30.0 TO 34.9 PERCENT (149)|   35.0 PERCENT OR MORE (150)|   NOT COMPUTED (151)
DATA|BK72|Williamsburg|***HOUSING OCCUPANCY|8,939|8,299|640|***UNITS IN STRUCTURE|8,939|319|338|748|2,276|776|466|3,961|43|12|***YEAR STRUCTURE BUILT|8,939|0|606|584|408|1,359|700|649|392|4,241|***ROOMS|8,939|1,321|59|1,160|2,580|1,710|1,256|505|180|168|***BEDROOMS|8,939|1,321|1,619|2,630|1,919|1,115|335|***HOUSING TENURE|8,299|1,147|7,152|***YEAR HOUSEHOLDER MOVED INTO UNIT|8,299|301|4,448|1,169|967|1,013|401|***VEHICLES AVAILABLE|8,299|6,108|2,075|107|9|***HOUSE HEATING FUEL |8,299|6,034|128|265|1,647|35|55|0|81|54|***SELECTED CHARACTERISTICS|8,299|236|145|166|***OCCUPANTS PER ROOM|8,299|5,475|1,427|1,397|***VALUE|1,147|10|0|9|55|115|270|546|142|***MORTGAGE STATUS|1,147|652|495|***SELECTED MONTHLY OWNER COSTS (SMOC)|652|0|0|6|0|102|125|419|495|0|0|0|57|438|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|652|87|20|32|94|419|0|484|41|99|36|68|44|28|168|11|***GROSS RENT|7,016|267|966|1,082|1,005|982|1,674|1,040|136|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|6,952|886|376|399|678|625|3,988|200
DATA|BK73|North Side-South Side|***HOUSING OCCUPANCY|20,944|19,172|1,772|***UNITS IN STRUCTURE|20,944|497|416|1,247|3,156|3,991|2,111|9,422|104|0|***YEAR STRUCTURE BUILT|20,944|359|3,713|751|333|667|1,051|1,089|938|12,043|***ROOMS|20,944|3,411|1,286|4,889|6,474|3,098|980|371|156|279|***BEDROOMS|20,944|3,473|6,445|7,518|2,836|431|241|***HOUSING TENURE|19,172|2,866|16,306|***YEAR HOUSEHOLDER MOVED INTO UNIT|19,172|3,426|9,270|3,236|1,610|939|691|***VEHICLES AVAILABLE|19,172|13,728|4,837|565|42|***HOUSE HEATING FUEL |19,172|12,021|637|1,839|4,281|0|37|0|141|216|***SELECTED CHARACTERISTICS|19,172|267|252|896|***OCCUPANTS PER ROOM|19,172|16,179|979|2,014|***VALUE|2,866|48|39|54|85|170|278|1,807|385|***MORTGAGE STATUS|2,866|2,034|832|***SELECTED MONTHLY OWNER COSTS (SMOC)|2,034|0|0|14|43|137|115|1,725|832|20|22|16|28|746|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|2,034|453|276|181|128|996|0|832|94|111|140|125|35|69|258|0|***GROSS RENT|15,914|246|997|1,075|1,951|2,040|2,697|6,908|392|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|15,842|2,002|1,841|2,057|1,654|1,636|6,652|464
DATA|BK76|Greenpoint|***HOUSING OCCUPANCY|17,302|15,124|2,178|***UNITS IN STRUCTURE|17,302|363|522|1,997|4,409|7,816|1,183|973|39|0|***YEAR STRUCTURE BUILT|17,302|57|883|485|348|541|1,272|1,538|1,385|10,793|***ROOMS|17,302|1,104|659|2,692|7,487|3,107|978|463|250|562|***BEDROOMS|17,302|1,174|5,350|7,912|2,025|555|286|***HOUSING TENURE|15,124|2,859|12,265|***YEAR HOUSEHOLDER MOVED INTO UNIT|15,124|1,750|7,998|2,543|1,300|749|784|***VEHICLES AVAILABLE|15,124|10,019|4,193|778|134|***HOUSE HEATING FUEL |15,124|11,548|369|643|2,315|0|10|0|67|172|***SELECTED CHARACTERISTICS|15,124|346|390|2,882|***OCCUPANTS PER ROOM|15,124|14,460|309|355|***VALUE|2,859|0|34|15|74|99|351|1,860|426|***MORTGAGE STATUS|2,859|1,560|1,299|***SELECTED MONTHLY OWNER COSTS (SMOC)|1,560|0|0|0|42|198|241|1,079|1,299|22|0|7|50|1,220|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|1,556|341|260|163|122|670|4|1,288|392|144|115|111|132|34|360|11|***GROSS RENT|12,027|75|160|315|659|1,814|3,959|5,045|238|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|11,691|1,809|1,480|1,697|1,432|1,020|4,253|574
DATA|BK90|East Williamsburg|***HOUSING OCCUPANCY|15,814|14,888|926|***UNITS IN STRUCTURE|15,814|339|647|1,679|2,673|4,470|1,062|4,923|0|21|***YEAR STRUCTURE BUILT|15,814|86|1,499|391|514|935|2,436|1,922|954|7,077|***ROOMS|15,814|1,824|830|4,365|5,086|2,123|834|200|167|385|***BEDROOMS|15,814|1,935|5,711|5,709|1,871|386|202|***HOUSING TENURE|14,888|2,396|12,492|***YEAR HOUSEHOLDER MOVED INTO UNIT|14,888|1,756|7,599|2,288|1,114|1,058|1,073|***VEHICLES AVAILABLE|14,888|10,397|3,694|703|94|***HOUSE HEATING FUEL |14,888|9,894|490|1,167|2,889|18|44|0|169|217|***SELECTED CHARACTERISTICS|14,888|158|186|942|***OCCUPANTS PER ROOM|14,888|13,560|386|942|***VALUE|2,396|124|40|0|67|92|371|1,474|228|***MORTGAGE STATUS|2,396|1,221|1,175|***SELECTED MONTHLY OWNER COSTS (SMOC)|1,221|27|0|26|63|106|106|893|1,175|102|10|21|47|995|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|1,221|246|149|118|76|632|0|1,175|292|191|181|54|56|47|354|0|***GROSS RENT|12,352|86|871|708|1,789|1,938|2,726|4,234|140|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|12,117|1,437|1,611|1,789|1,528|1,094|4,658|375
DATA|BK09|Brooklyn Heights-Cobble Hill|***HOUSING OCCUPANCY|12,735|11,346|1,389|***UNITS IN STRUCTURE|12,735|98|451|462|1,155|1,897|1,541|7,131|0|0|***YEAR STRUCTURE BUILT|12,735|0|1,070|95|139|579|969|793|582|8,508|***ROOMS|12,735|1,529|2,435|3,392|2,358|1,038|629|453|256|645|***BEDROOMS|12,735|2,201|5,570|2,971|1,168|406|419|***HOUSING TENURE|11,346|4,957|6,389|***YEAR HOUSEHOLDER MOVED INTO UNIT|11,346|1,482|6,064|1,421|842|916|621|***VEHICLES AVAILABLE|11,346|8,194|2,801|290|61|***HOUSE HEATING FUEL |11,346|6,423|141|1,375|3,116|13|18|0|160|100|***SELECTED CHARACTERISTICS|11,346|30|88|248|***OCCUPANTS PER ROOM|11,346|11,029|168|149|***VALUE|4,957|126|193|0|13|319|1,121|1,707|1,478|***MORTGAGE STATUS|4,957|3,077|1,880|***SELECTED MONTHLY OWNER COSTS (SMOC)|3,077|16|55|30|137|291|455|2,093|1,880|64|89|172|136|1,419|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|3,077|1,560|581|241|158|537|0|1,867|896|366|240|28|47|49|241|13|***GROSS RENT|6,218|14|85|133|328|496|1,148|4,014|171|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|6,092|1,264|961|984|840|253|1,790|297
DATA|BK38|DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill|***HOUSING OCCUPANCY|17,033|15,085|1,948|***UNITS IN STRUCTURE|17,033|235|589|1,326|2,266|1,618|939|10,051|9|0|***YEAR STRUCTURE BUILT|17,033|256|3,160|333|253|319|891|3,128|1,512|7,181|***ROOMS|17,033|1,671|1,432|4,412|5,331|2,404|794|269|268|452|***BEDROOMS|17,033|1,820|5,448|6,547|2,495|478|245|***HOUSING TENURE|15,085|3,675|11,410|***YEAR HOUSEHOLDER MOVED INTO UNIT|15,085|2,419|7,669|1,900|1,208|1,061|828|***VEHICLES AVAILABLE|15,085|10,868|3,647|524|46|***HOUSE HEATING FUEL |15,085|9,147|209|2,712|2,644|0|16|0|113|244|***SELECTED CHARACTERISTICS|15,085|192|142|502|***OCCUPANTS PER ROOM|15,085|14,324|448|313|***VALUE|3,675|15|37|68|38|311|504|1,356|1,346|***MORTGAGE STATUS|3,675|2,794|881|***SELECTED MONTHLY OWNER COSTS (SMOC)|2,794|15|20|13|79|212|183|2,272|881|57|44|48|27|705|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|2,791|1,172|391|308|207|713|3|881|417|126|82|61|33|24|138|0|***GROSS RENT|11,235|254|1,399|1,211|1,515|849|1,112|4,895|175|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|11,053|1,848|1,638|1,601|1,506|1,024|3,436|357
DATA|BK68|Fort Greene|***HOUSING OCCUPANCY|13,108|11,560|1,548|***UNITS IN STRUCTURE|13,108|157|360|1,131|2,667|1,437|842|6,495|0|19|***YEAR STRUCTURE BUILT|13,108|139|941|418|259|929|1,127|1,191|1,517|6,587|***ROOMS|13,108|1,750|1,053|3,245|3,491|1,958|576|324|161|550|***BEDROOMS|13,108|1,941|4,209|4,177|1,917|549|315|***HOUSING TENURE|11,560|2,531|9,029|***YEAR HOUSEHOLDER MOVED INTO UNIT|11,560|1,718|5,968|1,947|935|586|406|***VEHICLES AVAILABLE|11,560|8,003|2,941|470|146|***HOUSE HEATING FUEL |11,560|7,222|238|1,202|2,661|0|33|0|99|105|***SELECTED CHARACTERISTICS|11,560|73|81|581|***OCCUPANTS PER ROOM|11,560|11,034|151|375|***VALUE|2,531|28|44|4|54|112|749|671|869|***MORTGAGE STATUS|2,531|1,886|645|***SELECTED MONTHLY OWNER COSTS (SMOC)|1,886|0|24|14|189|199|225|1,235|645|111|29|95|10|400|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|1,841|614|269|172|219|567|45|645|281|86|66|50|11|13|138|0|***GROSS RENT|8,867|191|974|912|848|994|1,634|3,314|162|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|8,751|1,275|1,177|1,205|1,176|878|3,040|278
DATA|BK69|Clinton Hill|***HOUSING OCCUPANCY|17,006|14,937|2,069|***UNITS IN STRUCTURE|17,006|334|922|1,893|4,182|2,263|1,213|6,144|12|43|***YEAR STRUCTURE BUILT|17,006|57|746|253|468|468|1,507|886|1,656|10,965|***ROOMS|17,006|1,344|909|4,305|4,417|3,206|1,237|390|355|843|***BEDROOMS|17,006|1,425|6,128|5,114|2,756|912|671|***HOUSING TENURE|14,937|5,018|9,919|***YEAR HOUSEHOLDER MOVED INTO UNIT|14,937|1,944|7,843|2,235|943|1,140|832|***VEHICLES AVAILABLE|14,937|8,877|4,984|793|283|***HOUSE HEATING FUEL |14,937|10,551|384|755|3,037|10|12|0|112|76|***SELECTED CHARACTERISTICS|14,937|105|167|635|***OCCUPANTS PER ROOM|14,937|14,222|382|333|***VALUE|5,018|173|169|108|11|182|1,454|1,873|1,048|***MORTGAGE STATUS|5,018|3,325|1,693|***SELECTED MONTHLY OWNER COSTS (SMOC)|3,325|27|0|75|214|335|449|2,225|1,693|170|156|146|60|1,161|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|3,261|848|488|301|439|1,185|64|1,681|740|237|175|111|64|59|295|12|***GROSS RENT|9,597|53|216|330|909|1,381|2,632|4,076|322|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|9,271|1,213|1,246|1,303|1,106|727|3,676|648
DATA|BK35|Stuyvesant Heights|***HOUSING OCCUPANCY|28,484|24,360|4,124|***UNITS IN STRUCTURE|28,484|515|1,431|5,641|8,523|4,805|2,029|5,540|0|0|***YEAR STRUCTURE BUILT|28,484|0|1,631|1,499|585|1,553|1,692|1,878|1,358|18,288|***ROOMS|28,484|1,657|886|6,244|9,645|5,439|1,940|719|537|1,417|***BEDROOMS|28,484|1,730|7,843|10,862|5,347|1,386|1,316|***HOUSING TENURE|24,360|5,608|18,752|***YEAR HOUSEHOLDER MOVED INTO UNIT|24,360|2,639|12,671|4,292|2,078|1,428|1,252|***VEHICLES AVAILABLE|24,360|16,239|6,721|1,147|253|***HOUSE HEATING FUEL |24,360|17,926|217|1,487|4,277|20|25|14|139|255|***SELECTED CHARACTERISTICS|24,360|327|344|1,278|***OCCUPANTS PER ROOM|24,360|22,510|1,124|726|***VALUE|5,608|73|179|40|43|248|1,249|3,615|161|***MORTGAGE STATUS|5,608|4,068|1,540|***SELECTED MONTHLY OWNER COSTS (SMOC)|4,068|0|34|17|157|325|789|2,746|1,540|18|20|0|38|1,464|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|4,033|762|421|418|352|2,080|35|1,501|499|316|145|137|62|89|253|39|***GROSS RENT|18,245|415|1,454|1,696|2,412|3,048|6,404|2,816|507|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|17,539|1,927|1,895|1,998|1,991|1,896|7,832|1,213
DATA|BK75|Bedford|***HOUSING OCCUPANCY|28,254|24,225|4,029|***UNITS IN STRUCTURE|28,254|468|1,263|3,612|8,866|3,724|3,836|6,443|16|26|***YEAR STRUCTURE BUILT|28,254|67|3,753|1,225|531|1,044|2,112|2,002|2,103|15,417|***ROOMS|28,254|2,024|734|5,657|8,128|6,523|2,681|806|453|1,248|***BEDROOMS|28,254|2,082|6,580|9,637|6,615|2,207|1,133|***HOUSING TENURE|24,225|4,784|19,441|***YEAR HOUSEHOLDER MOVED INTO UNIT|24,225|2,569|13,556|4,060|1,842|1,188|1,010|***VEHICLES AVAILABLE|24,225|16,371|6,642|981|231|***HOUSE HEATING FUEL |24,225|17,770|476|1,613|3,788|32|0|14|212|320|***SELECTED CHARACTERISTICS|24,225|328|303|1,065|***OCCUPANTS PER ROOM|24,225|21,326|2,035|864|***VALUE|4,784|52|115|38|0|168|943|3,151|317|***MORTGAGE STATUS|4,784|3,639|1,145|***SELECTED MONTHLY OWNER COSTS (SMOC)|3,639|0|0|25|96|288|564|2,666|1,145|0|38|0|65|1,042|***SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)|3,596|475|404|322|359|2,036|43|1,125|255|190|143|102|80|46|309|20|***GROSS RENT|19,078|520|1,533|1,705|2,848|2,940|5,452|4,080|363|***GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)|18,526|1,978|2,101|1,817|2,142|1,832|8,656|915
