DESC (0)|NTACODE (1)|NTANAME (2)|***HOUSEHOLD BY TYPE (3)|TOTAL HOUSEHOLDS (4)|  FAMILY HOUSEHOLDS (FAMILIES) (5)|      WITH OWN CHILDREN UNDER 18 YEARS (6)|    MARRIED-COUPLE FAMILY (7)|      WITH OWN CHILDREN UNDER 18 YEARS (8)|    MALE HOUSEHLDR, NO WIFE PRESENT, FAMILY (9)|      WITH OWN CHILDREN UNDER 18 YEARS (10)|    FEMALE HOUSEHLDR, NO HUSBAND PRESENT, FAMILY (11)|      WITH OWN CHILDREN UNDER 18 YEARS (12)|  NONFAMILY HOUSEHOLDS (13)|    HOUSEHOLDER LIVING ALONE (14)|       65 YEARS AND OVER (15)|  HOUSEHOLDS WITH ONE OR MORE PEOPLE UNDER 18 YEARS (16)|  HOUSEHOLDS WITH ONE OR MORE PEOPLE 65 YEARS AND OVER (17)|  AVERAGE HOUSEHOLD SIZE (18)|  AVERAGE FAMILY SIZE (19)|***RELATIONSHIP (20)|POPULATION IN HOUSEHOLDS (21)|  HOUSEHOLDER (22)|  SPOUSE (23)|  CHILD (24)|  OTHER RELATIVES (25)|  NONRELATIVES (26)|  NONRELATIVES - UNMARRIED PARTNER (27)|***MARITAL STATUS (28)|MALES 15 YEARS AND OVER (29)|  NEVER MARRIED (30)|  NOW MARRIED, EXCEPT SEPARATED (31)|  SEPARATED (32)|  WIDOWED (33)|  DIVORCED (34)|FEMALES 15 YEARS AND OVER (35)|  NEVER MARRIED (36)|  NOW MARRIED, EXCEPT SEPARATED (37)|  SEPARATED (38)|  WIDOWED (39)|  DIVORCED (40)|***GRANDPARENTS (41)|  NUMBER OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS (42)|  RESPONSIBLE FOR GRANDCHILDREN (43)|      LESS THAN 1 YEAR (44)|      1 OR 2 YEARS (45)|      3 OR 4 YEARS (46)|      5 OR MORE YEARS (47)|NUMBER OF GRANDPARENTS RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS (48)|  WHO ARE FEMALE (49)|  WHO ARE MARRIED (50)|***SCHOOL ENROLLMENT (51)|POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL (52)|  NURSERY SCHOOL, PRESCHOOL (53)|  KINDERGARTEN (54)|  ELEMENTARY SCHOOL (GRADES 1-8) (55)|  HIGH SCHOOL (GRADES 9-12) (56)|  COLLEGE OR GRADUATE SCHOOL (57)|***EDUCATIONAL ATTAINMENT (58)|POPULATION 25 YEARS AND OVER (59)|  LESS THAN 9TH GRADE (60)|  9TH TO 12TH GRADE, NO DIPLOMA (61)|  HIGH SCHOOL GRADUATE (INCLUDES EQUIVALENCY) (62)|  SOME COLLEGE, NO DEGREE (63)|  ASSOCIATE'S DEGREE (64)|  BACHELOR'S DEGREE (65)|  GRADUATE OR PROFESSIONAL DEGREE (66)|  PERCENT HIGH SCHOOL GRADUATE OR HIGHER (67)|  PERCENT BACHELOR'S DEGREE OR HIGHER (68)|***VETERAN STATUS (69)|CIVILIAN POPULATION 18 YEARS AND OVER (70)|  CIVILIAN VETERANS (71)|***RESIDENCE 1 YEAR AGO (72)|POPULATION 1 YEAR AND OVER (73)|  SAME HOUSE (74)|  DIFFERENT HOUSE IN THE U.S. (75)|    SAME COUNTY (76)|    DIFFERENT COUNTY (77)|      SAME STATE (78)|      DIFFERENT STATE (79)|  ABROAD (80)|***PLACE OF BIRTH (81)|TOTAL POPULATION (82)|  NATIVE (83)|    BORN IN UNITED STATES (84)|      STATE OF RESIDENCE (85)|      DIFFERENT STATE (86)|    BORN IN PUERTO RICO, U.S. ISLAND AREAS, OR BORN ABROAD TO AMERICAN PARENT(S) (87)|  FOREIGN BORN (88)|***U.S. CITIZENSHIP STATUS (89)|FOREIGN-BORN POPULATION (90)|  NATURALIZED U.S. CITIZEN (91)|  NOT A U.S. CITIZEN (92)|***YEAR OF ENTRY (93)|POPULATION BORN OUTSIDE THE U.S. (94)|  NATIVE (95)|    ENTERED 2010 OR LATER (96)|    ENTERED BEFORE 2010 (97)|  FOREIGN BORN (98)|    ENTERED 2010 OR LATER (99)|    ENTERED BEFORE 2010 (100)|***WORLD REGION OF BIRTH OF FOREIGN BORN (101)|FOREIGN-BORN POPULATION, EXCLUDING POPULATION BORN AT SEA (102)|  EUROPE (103)|  ASIA (104)|  AFRICA (105)|  OCEANIA (106)|  LATIN AMERICA (107)|  NORTHERN AMERICA (108)|***LANGUAGE SPOKEN AT HOME (109)|POPULATION 5 YEARS AND OVER (110)|  ENGLISH ONLY (111)|  LANGUAGE OTHER THAN ENGLISH (112)|      SPEAK ENGLISH LESS THAN "VERY WELL" (113)|    SPANISH (114)|      SPEAK ENGLISH LESS THAN "VERY WELL" (115)|    OTHER INDO-EUROPEAN LANGUAGES (116)|      SPEAK ENGLISH LESS THAN "VERY WELL" (117)|    ASIAN AND PACIFIC ISLANDER LANGUAGES (118)|      SPEAK ENGLISH LESS THAN "VERY WELL" (119)|    OTHER LANGUAGES (120)|      SPEAK ENGLISH LESS THAN "VERY WELL" (121)|***ANCESTRY (122)|TOTAL POPULATION (123)|  AMERICAN (124)|  ARAB (125)|  CZECH (126)|  DANISH (127)|  DUTCH (128)|  ENGLISH (129)|  FRENCH (EXCEPT BASQUE) (130)|  FRENCH CANADIAN (131)|  GERMAN (132)|  GREEK (133)|  HUNGARIAN (134)|  IRISH (135)|  ITALIAN (136)|  LITHUANIAN (137)|  NORWEGIAN (138)|  POLISH (139)|  PORTUGUESE (140)|  RUSSIAN (141)|  SCOTCH-IRISH (142)|  SCOTTISH (143)|  SLOVAK (144)|  SUBSAHARAN AFRICAN (145)|  SWISS (146)|  UKRAINIAN (147)|  WELSH (148)|  WEST INDIAN (EXCLUDING HISPANIC ORIGIN GROUPS) (149)
DATA|BK72|Williamsburg|***HOUSEHOLD BY TYPE|8,299|6,813|4,855|5,640|4,170|389|218|784|467|1,486|1,359|881|5,026|1,642|3.9|4.5|***RELATIONSHIP|32,563|8,299|5,555|17,406|1,007|296|230|***MARITAL STATUS|9,451|2,948|5,962|82|276|183|9,821|2,624|5,831|277|804|285|***GRANDPARENTS|368|178|27|5|32|114|178|107|167|***SCHOOL ENROLLMENT|13,747|1,708|1,105|5,890|3,200|1,844|***EDUCATIONAL ATTAINMENT|12,929|1,889|2,398|4,915|2,244|483|577|423|-|-|***VETERAN STATUS|17,130|184|***RESIDENCE 1 YEAR AGO|31,730|30,889|786|617|169|158|11|55|***PLACE OF BIRTH|32,828|29,000|27,767|26,956|811|1,233|3,828|***U.S. CITIZENSHIP STATUS|3,828|2,584|1,244|***YEAR OF ENTRY|5,061|1,233|71|1,162|3,828|65|3,763|***WORLD REGION OF BIRTH OF FOREIGN BORN|3,828|1,708|598|114|8|1,147|253|***LANGUAGE SPOKEN AT HOME|26,665|3,126|23,539|8,895|3,476|1,671|19,063|6,795|36|12|964|417|***ANCESTRY|32,828|879|74|156|0|43|508|54|58|473|0|4,233|218|166|0|27|297|0|41|4|3|0|60|14|26|0|49
DATA|BK73|North Side-South Side|***HOUSEHOLD BY TYPE|19,172|8,691|3,628|5,161|2,294|876|350|2,654|984|10,481|6,048|1,270|4,219|2,720|2.4|3.3|***RELATIONSHIP|45,874|19,172|5,109|11,760|2,867|6,966|2,172|***MARITAL STATUS|18,487|10,931|6,024|263|259|1,010|19,771|10,611|5,711|836|959|1,654|***GRANDPARENTS|872|283|28|62|31|162|283|189|187|***SCHOOL ENROLLMENT|9,853|578|619|3,641|2,215|2,800|***EDUCATIONAL ATTAINMENT|31,774|3,418|3,086|4,676|4,218|1,205|9,827|5,344|-|-|***VETERAN STATUS|36,999|618|***RESIDENCE 1 YEAR AGO|45,458|39,289|5,725|2,687|3,038|1,879|1,159|444|***PLACE OF BIRTH|46,070|34,983|31,443|20,279|11,164|3,540|11,087|***U.S. CITIZENSHIP STATUS|11,087|4,902|6,185|***YEAR OF ENTRY|14,627|3,540|35|3,505|11,087|247|10,840|***WORLD REGION OF BIRTH OF FOREIGN BORN|11,087|2,786|1,544|57|123|6,222|355|***LANGUAGE SPOKEN AT HOME|43,053|18,702|24,351|9,996|15,404|6,762|7,316|2,636|1,146|430|485|168|***ANCESTRY|46,070|1,382|360|132|57|181|1,298|888|93|2,349|149|1,419|2,351|2,339|81|189|2,000|36|582|184|366|59|9|79|223|153|384
DATA|BK76|Greenpoint|***HOUSEHOLD BY TYPE|15,124|6,330|2,124|4,599|1,647|567|122|1,164|355|8,794|5,867|1,241|2,277|2,270|2.1|2.8|***RELATIONSHIP|31,307|15,124|4,603|5,410|1,531|4,639|1,357|***MARITAL STATUS|14,159|7,155|5,440|179|333|1,052|14,634|6,809|5,070|461|1,500|794|***GRANDPARENTS|176|57|0|0|0|57|57|33|43|***SCHOOL ENROLLMENT|5,293|163|213|1,305|866|2,746|***EDUCATIONAL ATTAINMENT|25,261|1,554|1,234|4,658|3,362|2,170|7,844|4,439|-|-|***VETERAN STATUS|28,184|582|***RESIDENCE 1 YEAR AGO|31,271|27,369|3,434|2,048|1,386|911|475|468|***PLACE OF BIRTH|31,522|20,088|19,245|11,908|7,337|843|11,434|***U.S. CITIZENSHIP STATUS|11,434|5,348|6,086|***YEAR OF ENTRY|12,277|843|12|831|11,434|238|11,196|***WORLD REGION OF BIRTH OF FOREIGN BORN|11,434|7,939|1,061|79|129|2,027|199|***LANGUAGE SPOKEN AT HOME|30,585|16,677|13,908|7,302|3,743|1,781|9,368|5,129|614|341|183|51|***ANCESTRY|31,522|2,178|167|190|39|230|1,203|716|85|2,394|230|212|3,452|2,973|58|188|10,905|68|546|153|313|143|37|106|185|260|104
DATA|BK90|East Williamsburg|***HOUSEHOLD BY TYPE|14,888|6,765|2,460|3,933|1,238|645|130|2,187|1,092|8,123|4,996|1,562|2,750|3,469|2.2|2.9|***RELATIONSHIP|32,769|14,888|3,931|6,991|2,137|4,822|1,338|***MARITAL STATUS|13,540|7,556|4,580|344|469|591|16,019|8,474|4,395|534|1,309|1,307|***GRANDPARENTS|575|246|152|22|6|66|246|219|173|***SCHOOL ENROLLMENT|6,430|341|289|1,620|1,261|2,919|***EDUCATIONAL ATTAINMENT|25,061|3,106|2,858|5,061|3,477|1,247|6,223|3,089|-|-|***VETERAN STATUS|28,927|893|***RESIDENCE 1 YEAR AGO|32,864|28,741|3,957|2,347|1,610|1,019|591|166|***PLACE OF BIRTH|33,155|24,610|22,207|14,506|7,701|2,403|8,545|***U.S. CITIZENSHIP STATUS|8,545|4,179|4,366|***YEAR OF ENTRY|10,948|2,403|19|2,384|8,545|123|8,422|***WORLD REGION OF BIRTH OF FOREIGN BORN|8,545|2,037|2,877|50|36|3,515|30|***LANGUAGE SPOKEN AT HOME|31,814|16,161|15,653|7,677|9,301|4,169|2,790|1,262|3,388|2,149|174|97|***ANCESTRY|33,155|1,025|234|85|59|127|880|544|79|1,715|76|47|1,963|4,309|72|193|1,940|92|575|74|193|27|62|53|54|122|213
DATA|BK09|Brooklyn Heights-Cobble Hill|***HOUSEHOLD BY TYPE|11,346|4,784|1,736|4,255|1,570|250|52|279|114|6,562|5,440|1,340|1,801|2,297|1.9|2.8|***RELATIONSHIP|21,368|11,346|4,292|3,775|646|1,309|728|***MARITAL STATUS|10,413|4,758|4,802|126|199|528|10,457|4,169|4,842|112|519|815|***GRANDPARENTS|124|0|0|0|0|0|0|0|0|***SCHOOL ENROLLMENT|4,332|412|90|922|515|2,393|***EDUCATIONAL ATTAINMENT|18,297|203|123|1,396|1,283|640|6,387|8,265|-|-|***VETERAN STATUS|20,492|651|***RESIDENCE 1 YEAR AGO|23,112|19,228|3,598|1,352|2,246|1,287|959|286|***PLACE OF BIRTH|23,498|18,988|18,550|10,815|7,735|438|4,510|***U.S. CITIZENSHIP STATUS|4,510|2,278|2,232|***YEAR OF ENTRY|4,948|438|0|438|4,510|192|4,318|***WORLD REGION OF BIRTH OF FOREIGN BORN|4,510|1,932|1,203|135|75|1,020|145|***LANGUAGE SPOKEN AT HOME|21,960|16,813|5,147|821|1,580|276|2,356|284|906|197|305|64|***ANCESTRY|23,498|2,403|253|62|40|169|1,771|770|15|2,054|264|286|2,782|2,553|157|264|1,455|9|1,467|128|452|29|94|141|123|84|407
DATA|BK38|DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill|***HOUSEHOLD BY TYPE|15,085|7,392|3,328|4,234|1,935|426|152|2,732|1,241|7,693|5,298|1,037|3,879|2,408|2.2|3.0|***RELATIONSHIP|32,891|15,085|4,214|8,252|2,021|3,319|1,444|***MARITAL STATUS|13,948|7,667|4,919|318|261|783|15,755|7,640|4,968|673|1,055|1,419|***GRANDPARENTS|621|334|48|80|64|142|334|258|178|***SCHOOL ENROLLMENT|7,584|455|464|2,855|1,119|2,691|***EDUCATIONAL ATTAINMENT|25,979|2,065|2,117|3,972|2,952|959|7,423|6,491|-|-|***VETERAN STATUS|28,932|718|***RESIDENCE 1 YEAR AGO|34,868|29,461|5,088|2,302|2,786|1,753|1,033|319|***PLACE OF BIRTH|35,373|29,181|26,636|17,181|9,455|2,545|6,192|***U.S. CITIZENSHIP STATUS|6,192|3,182|3,010|***YEAR OF ENTRY|8,737|2,545|38|2,507|6,192|192|6,000|***WORLD REGION OF BIRTH OF FOREIGN BORN|6,192|1,332|2,310|208|55|2,052|235|***LANGUAGE SPOKEN AT HOME|33,228|22,250|10,978|4,079|6,536|2,394|1,926|486|1,819|988|697|211|***ANCESTRY|35,373|2,692|563|98|82|245|1,720|642|133|2,307|199|198|2,388|2,173|92|205|968|89|1,127|118|404|29|277|95|135|74|1,057
DATA|BK68|Fort Greene|***HOUSEHOLD BY TYPE|11,560|5,436|2,400|2,629|1,061|413|150|2,394|1,189|6,124|4,709|935|2,924|2,031|2.1|3.0|***RELATIONSHIP|24,716|11,560|2,591|5,766|2,571|2,228|853|***MARITAL STATUS|9,633|5,243|3,436|287|164|503|13,224|7,293|3,216|570|952|1,193|***GRANDPARENTS|529|221|31|82|52|56|221|197|113|***SCHOOL ENROLLMENT|6,370|398|445|1,770|893|2,864|***EDUCATIONAL ATTAINMENT|19,007|1,591|2,058|2,807|2,412|976|4,455|4,708|-|-|***VETERAN STATUS|22,202|749|***RESIDENCE 1 YEAR AGO|26,642|22,170|4,167|2,478|1,689|991|698|305|***PLACE OF BIRTH|26,982|20,910|19,653|13,308|6,345|1,257|6,072|***U.S. CITIZENSHIP STATUS|6,072|3,164|2,908|***YEAR OF ENTRY|7,329|1,257|14|1,243|6,072|192|5,880|***WORLD REGION OF BIRTH OF FOREIGN BORN|6,072|677|1,694|626|83|2,870|122|***LANGUAGE SPOKEN AT HOME|25,342|17,867|7,475|3,443|3,720|1,867|1,768|433|1,187|661|800|482|***ANCESTRY|26,982|705|473|68|39|85|1,039|438|12|1,276|83|56|1,529|872|61|159|362|9|312|104|304|0|871|52|126|116|1,882
DATA|BK69|Clinton Hill|***HOUSEHOLD BY TYPE|14,937|6,536|2,900|3,781|1,662|516|126|2,239|1,112|8,401|5,615|1,308|3,387|2,724|2.3|3.2|***RELATIONSHIP|34,559|14,937|3,836|7,459|2,898|5,429|1,544|***MARITAL STATUS|14,748|8,688|4,507|492|217|844|16,422|8,979|4,201|504|1,012|1,726|***GRANDPARENTS|725|232|8|108|28|88|232|205|86|***SCHOOL ENROLLMENT|9,823|574|377|2,407|928|5,537|***EDUCATIONAL ATTAINMENT|24,690|1,107|1,629|3,887|4,039|1,138|7,351|5,539|-|-|***VETERAN STATUS|30,518|930|***RESIDENCE 1 YEAR AGO|35,842|30,416|5,009|2,511|2,498|1,147|1,351|417|***PLACE OF BIRTH|36,413|29,269|28,511|17,770|10,741|758|7,144|***U.S. CITIZENSHIP STATUS|7,144|3,629|3,515|***YEAR OF ENTRY|7,902|758|40|718|7,144|236|6,908|***WORLD REGION OF BIRTH OF FOREIGN BORN|7,144|1,009|1,319|741|183|3,649|243|***LANGUAGE SPOKEN AT HOME|34,222|25,403|8,819|3,006|4,306|1,538|3,076|1,008|930|290|507|170|***ANCESTRY|36,413|823|269|124|41|231|1,207|503|57|1,674|220|685|2,212|1,790|76|220|737|42|608|125|351|12|1,073|47|171|121|2,129
DATA|BK35|Stuyvesant Heights|***HOUSEHOLD BY TYPE|24,360|14,657|6,741|5,058|2,181|1,791|623|7,808|3,937|9,703|8,211|2,289|8,630|5,399|2.6|3.4|***RELATIONSHIP|63,637|24,360|5,038|19,804|10,115|4,320|1,368|***MARITAL STATUS|22,232|12,697|6,501|845|631|1,558|28,572|15,173|6,487|1,689|2,884|2,339|***GRANDPARENTS|2,708|1,073|208|233|151|481|1,073|760|646|***SCHOOL ENROLLMENT|17,585|1,196|904|6,844|4,281|4,360|***EDUCATIONAL ATTAINMENT|41,000|4,071|5,759|12,516|7,226|2,581|5,917|2,930|-|-|***VETERAN STATUS|48,035|1,827|***RESIDENCE 1 YEAR AGO|63,582|55,489|7,668|5,304|2,364|1,334|1,030|425|***PLACE OF BIRTH|64,331|50,732|48,180|39,345|8,835|2,552|13,599|***U.S. CITIZENSHIP STATUS|13,599|6,651|6,948|***YEAR OF ENTRY|16,151|2,552|43|2,509|13,599|298|13,301|***WORLD REGION OF BIRTH OF FOREIGN BORN|13,599|286|1,329|430|8|11,520|26|***LANGUAGE SPOKEN AT HOME|59,453|46,575|12,878|5,538|9,751|4,216|1,942|873|669|312|516|137|***ANCESTRY|64,331|1,175|239|64|0|129|227|155|75|400|9|32|524|656|0|45|131|58|78|24|18|8|1,091|0|0|10|7,626
DATA|BK75|Bedford|***HOUSEHOLD BY TYPE|24,225|14,903|7,758|6,620|3,832|1,213|277|7,070|3,649|9,322|7,301|1,826|9,246|4,165|2.9|3.7|***RELATIONSHIP|69,294|24,225|6,653|26,406|7,212|4,798|1,405|***MARITAL STATUS|23,648|13,125|8,080|635|546|1,262|28,130|14,323|7,945|1,418|2,199|2,245|***GRANDPARENTS|1,973|655|114|173|86|282|655|467|320|***SCHOOL ENROLLMENT|22,099|1,844|1,435|9,081|4,778|4,961|***EDUCATIONAL ATTAINMENT|40,026|3,963|5,725|11,362|7,311|2,280|5,993|3,392|-|-|***VETERAN STATUS|48,544|1,194|***RESIDENCE 1 YEAR AGO|68,641|62,279|5,974|4,015|1,959|1,020|939|388|***PLACE OF BIRTH|70,095|56,682|53,937|44,372|9,565|2,745|13,413|***U.S. CITIZENSHIP STATUS|13,413|6,427|6,986|***YEAR OF ENTRY|16,158|2,745|15|2,730|13,413|348|13,065|***WORLD REGION OF BIRTH OF FOREIGN BORN|13,413|622|1,559|1,114|28|9,879|211|***LANGUAGE SPOKEN AT HOME|62,818|38,727|24,091|9,480|10,994|4,731|11,165|4,085|672|244|1,260|420|***ANCESTRY|70,095|2,017|175|91|30|160|686|283|17|1,187|27|4,742|789|695|51|96|479|40|238|49|185|27|1,930|79|121|38|6,124
